,Lang 1,Lang 2,Lang Pair,Similarity
0,lt,lv,"('lt', 'lv')",0
1,ca,pt,"('ca', 'pt')",1
2,da,sv,"('da', 'sv')",1
3,et,fi,"('et', 'fi')",1
4,et,hu,"('et', 'hu')",1
5,es,pt,"('es', 'pt')",1
6,ca,es,"('ca', 'es')",2
7,lv,ru,"('lv', 'ru')",2
8,lt,ru,"('lt', 'ru')",2
9,pl,ru,"('pl', 'ru')",2
10,ru,sl,"('ru', 'sl')",2
11,bg,sl,"('bg', 'sl')",2
12,da,no,"('da', 'no')",2
13,fi,hu,"('fi', 'hu')",2
14,lv,ru,"('lv', 'ru')",2
15,lt,ru,"('lt', 'ru')",2
16,no,sv,"('no', 'sv')",2
17,pl,ru,"('pl', 'ru')",2
18,pl,sl,"('pl', 'sl')",2
19,ru,sl,"('ru', 'sl')",2
20,ca,it,"('ca', 'it')",3
21,ca,it,"('ca', 'it')",3
22,bg,ru,"('bg', 'ru')",3
23,bg,pl,"('bg', 'pl')",3
24,bg,ru,"('bg', 'ru')",3
25,et,lv,"('et', 'lv')",3
26,et,lt,"('et', 'lt')",3
27,fi,lv,"('fi', 'lv')",3
28,fi,lt,"('fi', 'lt')",3
29,hu,lv,"('hu', 'lv')",3
30,hu,lt,"('hu', 'lt')",3
31,lv,pl,"('lv', 'pl')",3
32,lv,sl,"('lv', 'sl')",3
33,lt,pl,"('lt', 'pl')",3
34,lt,sl,"('lt', 'sl')",3
35,et,ru,"('et', 'ru')",4
36,fi,ru,"('fi', 'ru')",4
37,hu,ru,"('hu', 'ru')",4
38,no,ru,"('no', 'ru')",4
39,bg,lv,"('bg', 'lv')",4
40,bg,lt,"('bg', 'lt')",4
41,et,ru,"('et', 'ru')",4
42,fi,ru,"('fi', 'ru')",4
43,hu,ru,"('hu', 'ru')",4
44,it,pt,"('it', 'pt')",4
45,lv,no,"('lv', 'no')",4
46,lt,no,"('lt', 'no')",4
47,no,pl,"('no', 'pl')",4
48,no,ru,"('no', 'ru')",4
49,no,sl,"('no', 'sl')",4
50,it,pt,"('it', 'pt')",4
51,da,ru,"('da', 'ru')",5
52,ru,sv,"('ru', 'sv')",5
53,bg,da,"('bg', 'da')",5
54,bg,no,"('bg', 'no')",5
55,bg,sv,"('bg', 'sv')",5
56,da,lv,"('da', 'lv')",5
57,da,lt,"('da', 'lt')",5
58,da,pl,"('da', 'pl')",5
59,da,ru,"('da', 'ru')",5
